Title,Company,Location,Reviews,Description,Application Link,Job Post Date,Salary
Software Engineer Internship - Backend,Ramp,"New York, NY 10018",4.2 out of 5 stars from 43 employee ratings,"Ramp is building the world's first finance automation platform designed to save businesses time and money. Ramp offers 5-in-1 software that consolidates corporate cards, expense management, bill payments, accounting, and reporting into one simple and free solution. More than 2,000 businesses are using Ramp for over $1 billion in annualized transaction volume, from some of the fastest growing startups and unicorns like Ro, DoNotPay, Better, ClickUp, and Applied Intuition, to established businesses across the US including Bristol Hospice, Walther Farms, Douglas Elliman, and Planned Parenthood.Founded in 2019 Ramp is NYC's fastest growing startup, having achieved a unicorn valuation of $3.9 billion in just over 2 years. Ramp has raised $620 million in funding from investors including Founders Fund, Stripe, Goldman Sachs, Coatue Management, D1 Capital Partners, Redpoint Venture and Thrive Capital, as well as over 100 angel investors who were founders or executives of leading companies. Ramp is part of the Forbes Fintech 50 and Fast Company's Best Workplaces for Innovators program.About the RoleRamp is, at its core, an engineering company, and is on a mission to build the best engineering team in NYC! We are looking for full stack and platform engineering interns (12 weeks) who are excited to be part of our early story and help us build a diverse and vibrant tech community in the city. We hire engineers with a broad set of technical skills, who are highly cross-functional, and eager to solve a wide range of engineering challenges. Our ideal candidate has a strong sense of ownership and enjoys owning projects from inception to scaling it in production. We value people who take pride in their work, and show an aptitude for learning quickly whether they’re familiar with our stack or not. As an early employee, you'll be working with a nimble team of committed and talented engineers and having a large, long-term impact on technical design and engineering culture.What You'll DoBuild performant and scalable platforms and services powering Ramp’s innovative productsContribute to Ramp’s financial products platform (Risk, Fraud, Treasury Management) and/or savings and web-app platform (Savings Insights, Receipt Matching)Work closely with product and business teams to understand customer feedback in order to constantly improve our productHelp establish and influence engineering process, tools, and systems that will allow us to scale the code base, productivity, and the teamWhat You'll NeedCurrently pursuing a B.S. (or higher) in Computer Science or a related technical field, with an expected graduation date in 2021 or 2022Track record of shipping high quality products and features or a portfolio of side projectsAbility to turn business and product ideas into engineering solutionsDesire to work in a fast-paced environment, continuously grow, and master your craftAlignment with Ramp’s core values of enabling businesses to grow more by spending lessNice to HavesFamiliarity with or desire to learn our tech stack which includes, but not limited to: Flask (Python), Elixir, AWS, RabbitMQ, PostgreSQLPassion for, or curiosity to learn, financial technologyAbout Our TeamsCard Engineering | Ramp’s Card Engineering team is responsible for shipping products with a singular focus on enhancing the finance team and cardholder experience. Current project areas include accounting, physical/virtual card management, mobile wallets, transactions, reimbursements, spend insights, and vendor/invoice management.Risk Engineering | Ramp’s Risk Engineering team is pioneering how risk is evaluated and building the infrastructure to scale to millions of business in the United States. Current project areas include application processing, underwriting & KYC, risk data signals, risk limit & exposure management, bank linking, capital markets, fraud, and payments.Learn more about our problem space and environment at our new engineering blog!Ramp BenefitsUnlimited PTOWFH stipend to support your home office needsMonthly wellness stipend",https://www.indeed.com/rc/clk?jk=82fec2bbf9190e18&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXj0IgYB-0dnWtEjVVuxRLHKl8EZNoFLzyHkpvcd7-Y9bg&astse=536e18f03595c1dd&assa=8109&vjfrom=serp,30+ days ago,N/A
"Software Engineer Intern, Systems and Infrastructure (PhD)",Facebook,"New York, NY",4.1 out of 5 stars from 630 employee ratings,"We build systems that allow more than a billion people all over the world to connect and communicate using whatever devices they have available. Our systems need to be scalable, fast, reliable, and efficient in order to provide a great user experience. As we design and build these systems, Facebook engineers encounter grand challenges across all levels of systems—including data center, hardware, storage, mobile, distributed systems, and more. Moreover, fast evolving social apps and highly dynamic social workloads present us with many unique research opportunities. The entire Facebook platform is our lab for research, development, and innovation. As a PhD intern at Facebook, you will help build the systems behind Facebook's products, create web applications that reach millions of people, build high volume servers and be a part of a team that’s working to help connect people around the globe. The ideal candidate will have a keen interest in relevant engineering fields, such as (but not limited to) distributed software systems, storage systems, data warehousing and analytics, database systems, operating systems, networking systems, programming languages, compilers & runtime systems, security & privacy and mobile systems. As part of our hiring process, PhD interns are pre-assigned to a relevant team based on their expertise and interests. This internship has a minimum twelve (12) week duration with Winter, Summer and Fall start dates in 2022 only.Build highly-scalable software systems using primarily C++ and Java.Design flexible APIs for Facebook product teams developing applications for web and mobile.Build detailed monitoring to track the health of these systems and quickly triage issues.Analyze the shortcomings of existing systems.Design and build next generation systems to constantly be at the cutting edge.Currently is in the process of obtaining PhD in Computer Science, related STEM or quantitative field, or relevant experienceResearch and/or work experience in Algorithms, Architecture, Programming Languages, Compilers, Database, Data Mining, Distributed Systems, Security, Cryptography, Networking, and/or SystemsExperience in systems software or algorithmsExpertise in C++, Java, Perl, PHP or PythonMust obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employmentIntent to return to degree-program after the completion of the internship/co-opDemonstrated software engineer experience via an internship, work experience, coding competitions, or PhD papersDemonstrated creativity and quick problem solving capabilitiesProven track record of achieving significant resultsFacebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",https://www.indeed.com/rc/clk?jk=f9158ddbc6fb643b&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiz_pc0c-TZ0Xqygl9Wwmv9XAwdulcUk0atwlDdDDqlBQ&astse=b0fb8ec7cf99b927&assa=8878&vjfrom=serp,30+ days ago,N/A
Software Engineer Internship - C++,"TuSimple, Inc.","New York, NY",2.8 out of 5 stars from 4 employee ratings,"Company OverviewCome join a higher calling and find a deeper purpose!As a multi-national Artificial Intelligence Technology Company, we are at the epicenter of the Autonomous Vehicle Universe. Our breakthroughs are leading the industry in autonomous trucking.While inventing the framework of Autonomous Driving, our current fleet of autonomous trucks are helping communities receive much-needed supplies and medical equipment around the clock. Our people are some of the most talented engineers and contributors who are leaving behind a historic legacy.TuSimple was founded in 2015 with the goal of bringing the top minds in the world together to achieve the dream of a driverless truck solution. With a foundation in computer vision, algorithms, mapping, and Artificial Intelligence, TuSimple is working to create the first global commercially viable Autonomous Freight Network.Opportunity Overview:Artificial intelligence enabled automation is one of the biggest opportunities of our generation. Here at TuSimple, it is more than just an opportunity, it is our mission. Led by a group of elite researchers and engineers, we are working tirelessly to bring safe and reliable autonomous trucking to reality. This transformative endeavor can reduce energy consumptions in the trucking industry, make goods and services more affordable and efficient, and eventually, profoundly improve the quality of life of everyone, including you and I.As a C++ Software Engineering Intern at TuSimple, you will have the opportunity to work on accelerating the development of our driverless autonomous vehicle systems. Join our rapidly growing team of expert engineers and help us architect and bring to life best-in-class Distributed Systems, Machine Learning (ML) Platforms, and Data Pipelines.Role ResponsibilitiesDesign, develop, test, debug, and deploy software modules in Autonomous Driving System, and/or in related platform and tools software.Collaborate with other team members.Experience & Skills RequiredEnrolled in a MS/PhD program in Computer Science or other related fields.3+ years of experience developing production-quality software in C++ or Python in Autonomous Driving, Robotics, Internet, Telecommunication, and other technology industries.Solid understanding of operating systems and embedded systems.Solid understanding of object-oriented programming.Solid understanding of data structure and basic algorithms.Solid understanding of performance profiling, analysis, and optimization.Good debugging and root cause analysis skills.Good understanding and experience of Python programming.Good communication skills and team collaboration.Preferred Skills & ExperienceGood understanding and experience in Computer Vision, Image Processing, Deep Learning, or other Algorithms.Development experience in RTOS and Linux kernel.Development experience in ROS.Development experience on ARM platforms.Good understanding and use of Docker.Intern PerksWork with world class AI EngineersShape the landscape of autonomous drivingWork on significantly important and mission critical projectsExtensive individual support through TuSimple's Mentorship ProgramCompetitive salaryHigh full-time employment return rates after completion of Internship ProgramGym membership reimbursementMonthly team building budgetOnsite Perks (These perks will only be applicable if the internship is onsite)Breakfast, lunch, and dinner served every dayFull kitchens on every floor with unlimited snacks, drinks, special treats, fruits, meals, and moreTuSimple is an Equal Opportunity Employer. This company does not discriminate in employment and personnel practices on the basis of race, sex, age, handicap, religion, national origin, or any other basis prohibited by applicable law. Hiring, transferring and promotion practices are performed without regard to the above-listed items.For immediate consideration, please email your resume to:ec___software_engineer_internship___c___d1f618ac2us@ivy.greenhouse.ioBrown University, California Institute of Technology, Carnegie Mellon University, Columbia University, Cornell University, Dartmouth College, Duke University, Georgia Institute of Technology, Harvard University, Harvey Mudd College, Massachusetts Institute of Technology, North Carolina State University, Northwestern University, Princeton University, Purdue University, Rice University, Rose - Hulman Institute of Technology, Stanford University, Tufts University, University of California — Berkeley, University of California — Los Angeles, University of Illinois-Urbana-Champaign, University of Maryland-College Park, University of Massachusetts-Amherst, University of Michigan-Ann Arbor, University of Notre Dame, University of Pennsylvania, University of Southern California, University of Texas Austin, University of Washington, University of Wisconsin-Madison, Williams College, Worcester Polytechnic Institute (WPI), Yale University, MIT, CMU, Waymo, Uber, Facebook, Uber, Amazon, Cruise, Tesla, Argo AI, Baidu, DIDI, Zoox, Nutonomy, Nuro, Aptiv, Pony.Ai, Kodiak, Toyota, Nissan, GM, Ford, VW, Autonomous Car, Autonomous Driving, Robotics, Artificial Intelligence, Machine Learning, Deep learning, Perception, Prediction, Planning, Control, Anduril Industries, Sift, Nauto, Tempus, Salesforce, Automation Anywhere, SenSat, Phrasee, Defined Crowd, Pymetrics,Siemens, Socure, AEye, Rev.com, Suki.ai, Verkada, DataVisor, People.ai, AlphaSense, Icertis, Casetext, Blue River Tech, Nvidia, Bright Machines, Orbital Insight, Brighterion, H2O, Intel, Clarifa, X.ai, Zebra Medical Vision, Iris AI, Freenome, Neurala, Akamai, Zoho, ServiceNow, SalesForce, Oracle, Tableau,Splunk,Cvent, Veeam,Atlassian, DocuSign, Dropbox, Veeva Systems, Proofpoint, Cornerstone, Qualtrics. New Relic, Okta, Intralinks, MuleSoft, Freshworks, Slack, Twilio, Anaplan, Stripe, Workfront, Smartsheet, Zuora, OutSystems, Coupa, Cylance, Elastic, Zoom, SailPoint, BlackLine, iCIMS, Digitate, Qualys, Kareo, DataStax, DiscoverOrg, Siteimprove, Druva, Centrify, Looker, SimilarWeb, Odoo, Kyriba, Sumo Logic, Sisense, PagerDuty, DigitalOcean, Liquid Web, Zaloni, Databricks, ServiceTitan, Fastly, SnapLogic, Mendix, Couchbase, Egnyte, Seismic, Bill.com, Justworks, Collibra, ActiveCampaign, Schoology, SalesLoft, Cylynt,",https://www.indeed.com/rc/clk?jk=b0b673ecd301126a&from=vj&pos=bottom&mvj=0&spon=1&adid=372049226&ad=-6NYlbfkN0C5XrI0lH7Ow5AnZXa4lAgFTjOGtX6m615LYJl3OxoHTd5brWBppAyTF3aqwO7KWWjbaq8Hhv0UQTlmmoUpL6rpzpyT6dUYnX3Gp6tP31txbuW_eh01iDL_Gz-abNloEk11r8mnK4bJqK1CGR2ksz1yAccOEWHYDL59cJex4WepBzJwVq_VgPNAUl3z0infEGC2Y4p8d5hXcLR2lpk2By6H6T0FBtV5v2rak8bjj3bxITqwotsAFa1mJvVnrJxGJYiF4a4zLIRQ2nrcsyqNURrkbHbhiB1iTOuqrathyKFJUwMU5rmJXYbyDGX1MzDonfYMP_NynSr-fZbBAJkkQ6os&sjdu=VyNrwcfTK15LupteTX0rmTbBumkMwMa8BUSgWmEX-RI&astse=280743ab6cd69807&assa=9599&vjfrom=serp,6 days ago,N/A
DevOps Intern,WebMD,"New York, NY 10014",3.6 out of 5 stars from 210 employee ratings,"WebMD is the most recognized and trusted brand of health information and the leading provider of health information services, serving consumers, physicians, healthcare professionals, employers and health plans through our public and private online portals and WebMD the Magazine. The WebMD Health Network includes WebMD, Medscape, MedicineNet, eMedicine, RxList, theheart.org and Medscape Education. Our consumer portals and mobile health applications provide engaging, relevant and credible health and wellness information, personalized health assessment tools and access to online communities.WebMD is an Equal Opportunity/Affirmative Action employer and does not discriminate on the basis of race, ancestry, color, religion, sex, gender, age, marital status, sexual orientation, gender identity, national origin, medical condition, disability, veterans status, or any other basis protected by law.The intern will be working on Developing and maintaining WebMD's next generation DevOps based PAAS platform Helios which provides the ability for different WebMD business units to build applications rapidly. Work entails from building CI/CD automation pipelines to building complex n-tier application web applications and services for Caching, Routing, logging and monitoring applications. You will be working on a platform which supports the technology stack and traffic of all WebMD properties including WebMD.com Medscape.com, Univaidis.com. The technology stack that you would be working on includes Kubernetes, GitLab, NodeJs, .Net Core, Rabbit MQ etc..Required QualificationsMinimum 3.2 GPAMatriculating Undergrad or Master’s student, graduating 2021Strong Fundamentals in Data Structures, OOPs and AlgorithmsGood Knowledge of at least one programming language of C#, Java, JavascriptWorking Knowledge of using source control management like gitGood Communication SkillsPreferred QualificationKnowledge/Experience of Building web applications or REST APIs or back end services",https://www.indeed.com/rc/clk?jk=a9769fb86bf70ce9&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiuwyy-xmmXUOuHL3O-7WPQnUUKYs5yKqp3Fg7KgmoxhA&astse=14ec5fe49ee8ec29&assa=400&vjfrom=serp,6 days ago,N/A
Software Development Internship - 2022 Summer Intern Program (CR),Verisk,"White Plains, NY",3.6 out of 5 stars from 171 employee ratings,"Company DescriptionAt the heart of what we do is help clients manage risk. Verisk (Nasdaq: VRSK) provides data and insights to our customers in insurance, energy and the financial services markets so they can make faster and more informed decisions.Our global team uses AI, machine learning, automation, and other emerging technologies to collect and analyze billions of records. We provide advanced decision-support to prevent credit, lending, and cyber risks. In addition, we monitor and advise companies on complex global matters such as climate change, catastrophes, and geopolitical issues.But why we do our work is what sets us apart. It stems from a commitment to making the world better, safer and stronger.It’s the reason Verisk is part of the UN Global Compact sustainability initiative. It’s why we made a commitment to balancing 100 percent of our carbon emissions. It’s the aim of our “returnship” program for experienced professionals rejoining the workforce after time away. And, it’s what drives our annual Innovation Day, where we identify our next first-to-market innovations to solve our customers’ problems.At its core, Verisk uses data to minimize risk and maximize value. But far bigger, is why we do what we do.At Verisk you can build an exciting career with meaningful work; create positive and lasting impact on business; and find the support, coaching, and training you need to advance your career. We have received the Great Place to Work® Certification for the fifth consecutive year. We’ve been recognized by Forbes as a World’s Best Employer and a Best Employer for Women, testaments to our culture of engagement and the value we place on an inclusive and diverse workforce. Verisk’s Statement on Racial Equity and Diversity supports our commitment to these values and affecting positive and lasting change in the communities where we live and work.Job DescriptionProgram Overview:Your future begins now. Verisk ‘s Summer Internship Program is designed to provide you with real work experience, professional development, and networking opportunities.Are you excited about the opportunity to build new features and improve existing products that our clients use around the world? Do you want to work in a highly impactful and collaborative environment where you will have the opportunity to innovate and solve complex technical problems? If so, you’ve come to the right place!We have opportunities for students interested in exploring software development careers throughout the globe. Our teams include Software Engineers, Full Stack Developers, Data Management, Cloud Specialists, and more.We are hiring in the following U.S. locations: Jersey City, NJ; White Plains, NY; Boston, MA; San Francisco, CA.At Verisk, we have a longstanding commitment to inclusion, diversity & belonging in our workplace and marketplace. Click here to read our statement on Racial, Equity and Diversity and learn more about our Employee Network Groups and our commitment to making a change.What You Could Learn:Analyze and develop custom made solutions for global company and high-profile clientsEmploy proficient programming knowledge to create new applications to optimize businessUncover and anticipate breaches or security flaws to protect customer information and prevent online threatsPerform hands-on coding, configuration and testing with a team and individuallyContribute to new and existing applications along with creating enhancements to websites, web applications, and infrastructureWorking cross-functionally across Data Science, Business Analysis and other teamsQualificationsSkills and Knowledge:Eagerness to learn, take on new projects, and experience all aspects of software developmentBasic working knowledge with program/coding terminology, web/app design, and data managementAbility to learn and adapt to continuously changing technologyEngaged, focused, organized, and detail-oriented problem solversExperience/ Qualifications:Enrolled in bachelors or masters program or bootcamp with coursework in computer science, data structures, logic and computation, etc.Verisk businesses leverage a wide variety of tech stacks, and you may be working on Java, .Net, or something else, depending on the business where you are assigned. It would be helpful (though not required) if you have some of the following experience:Infrastructure: AWS, Azure, GCPFront-End: Angular, React, NodeJSBack-End: Python, Java, C++, Spring, C#, Microsoft SQL, and other database technologies from Microsoft and/ or AWSDon’t worry about knowing all the technologies involved - we’ll teach you, but if you have any prior experience it’s a definite plus, so please be sure to include your technical skillset on your resume, so we can see your experience and interests.The Intern Program is not eligible for work visa sponsorship. If you will require work visa sponsorship (e.g., H1-B visa) after completing your degree, you do not meet the basic requirements of the summer intern role.Additional InformationRecruitment Process:We want to get to know YOU. Once you apply, our team will review your application.1. Technical Assessment: Should your profile be a match, we will ask you to complete a HackerRank technical assessment. In the assessment, you'll have an opportunity to code in a language of your choice, and also answer some basic multiple-choice questions. This will help us understand how you approach and solve technical challenges. During this assessment, you'll also have an opportunity to tell us more about your location and job interests.2. Final Live Virtual Interview: During this round, you'll speak with three members of our technical recruitment committee, who represent all our businesses across the US. At this point, we know you have the technical skills to succeed at Verisk and have the passion for this field. In this final round, it’s all about determining if you are the right fit for Verisk, and Verisk is the right fit for you.3. Offer: Our committee will then meet and discuss your candidacy. We will discuss your location, industry, and technical interests, as well as your ability to add to our culture at Verisk. If we extend you an offer, we will advise you as to the business and location where we are placing you.Verisk Analytics is an equal opportunity employer.All members of the Verisk Analytics family of companies are equal opportunity employers. We consider all qualified applicants for employment without regard to race, religion, color, national origin, citizenship, sex, gender identity and/or expression, sexual orientation, veteran's status, age or disability.http://www.verisk.com/careers.htmlUnsolicited resumes sent to Verisk, including unsolicited resumes sent to a Verisk business mailing address, fax machine or email address, or directly to Verisk employees, will be considered Verisk property. Verisk will NOT pay a fee for any placement resulting from the receipt of an unsolicited resume.Consumer Privacy Notice",https://www.indeed.com/viewjob?jk=1349aca927ad959b&from=serp&vjs=3,10 days ago,N/A
Full Stack Developer Intern - Flutter,Digital Mobile Agency,"New York, NY 10036",N/A,"Mobile Digital Agency is an award winning creative mobile app development, consulting and marketing company operating on all major platforms, including Apple iPhone, Apple iPad, and Android. We provide services for clients to generate new revenue channels and maximize their ROI.We are headquartered in NYC and have developed over 350 apps from major brands to startups, primarily in fashion, sports and gaming. We are experts at creating brand identity in the mobile space.We're currently looking for a full stack developer to work on a project that was built utilizing Dart and Flutter SDK / FrameworkCollege credit available if accepted.Job Types: Full-time, Part-time, InternshipSchedule:Monday to FridayExperience:Flutter: 1 year (Preferred)Dart: 1 year (Preferred)Full Stack Development: 1 year (Preferred)Work Location:One locationWork Remotely:Temporarily due to COVID-19",https://www.indeed.com/viewjob?cmp=Digital-Mobile-Agency&t=Full+Stack+Developer+Intern&jk=057d2228dea2cb57&vjs=3,7 days ago,N/A
Backend Engineer Intern,S.L. Inc: sub-company to Fashion Entertainment Media,"New York, NY",N/A,"Our company client has one of the most economically influential platforms to launch in 2021. We're Looking for FullStack and Backend Engineers living in the New Jersey or New York area. Engineers looking to earn a full time executive position within 6-8 months AFTER interning (unpaid) under the Lead Backend Security Engineer for Spotify and Venmo/Paypal.This is an economically sustainable on-demand platform, which was evaluated at $125 Million during Forbes Summit '2019. The platform had up to six offers up to $25 Million, PRE-revenue and Pre-Launch. It will be the first economically sustainable on-demand platform to generate up to seven streamsof income, and host up to seven markets that generate up to 900 Billion in revenue annually; profitable within a pandemic or recession.Our Lead Engineer (Advisor) Credentials and Background:NJIT Master's Degree, Data Science, 4.0NJIT Bachelor Degree, Web & Information Systems, 3.89Coursera: Verified Certificates (Computational Investing)Udacity: NanoDegree, Deep LearningThe Data Incubator: Scholar, Deep Learning with BigDLChief Technical Advisor: Movement VaultPlatform Lead Backend Engineer: VenmoMentor: TechstarsComputer Science Teacher: Outco Inc.Engineering: Spotify - PresentRaritan Valley College, Associate of Science, Web Developer, 3.56 Cum LaudeCREDENTIALS TO JOIN:Must have 3-5 years of experience. Engineers (frontend or backend) MUST be fluent and experienced with using the following to build an APP; NO EXCEPTIONS: React Native (frontend) and Django (Backend), Github, AWS, and Slack. FrontEnd engineers must be fluent and experienced in React Native. Backend Engineers must be fluent and experienced in Django.Engineers must also be experienced in 3 or more of the following:Password encryption + saltBackend serverBuild token service for login and registration (open api)Build and query databaseThe api gateway and amazon web servicesJSON language (formats / sends data)Java Script (backend) using node jsWriting in Unity engine + C sharp languageBackend security; Firewalls and encryptionProficient in API DevelopmentJangoPythonPostgresQLDeveloped and deployed app in app storeMinimum Requirement of 15-20 hrs a week.Starting in September 2021.This platform has a lot of backend data; geographic, gps, sales, and more.Engineers can be in school or have a job currently. All engineers are guaranteed permanent positions with their desired position (salary to match position) once the app goes to market (scheduled) in Winter 2021; provided quality work and hours are met. There are currently 8 engineers on the team working remotely from various states, and 45 team members with advisorswho are managers at Ernst & Young (DC and NYC), Spotify, Venmo/Paypal, and Madison Square Garden.We’re looking for applicants that take initiative and deliver on tasks (big and small) efficiently to move into positions of leadership quickly.Legal action may be taken if an applicant provides false information for interview or orientation; this includes but is not limited to their current living location. This opportunity is not for remote learning or for engineers looking to relocate. Applicants must ALREADY be living distance of our preferred location/area of our business as cited.Job Types: Full-time, Part-time, Contract, InternshipBenefits:Flexible scheduleProfessional development assistanceSchedule:Monday to FridayOn callWeekend availabilityAbility to commute/relocate:New York, NY: Reliably commute or planning to relocate before starting work (Required)Education:Bachelor's (Required)Experience:AWS: 1 year (Required)JavaScript: 1 year (Required)APIs: 1 year (Required)app engineer: 3 years (Required)Work Location:One locationWork Remotely:Temporarily due to COVID-19",https://www.indeed.com/viewjob?cmp=S.L.-Inc%3A-sub--company-to-Fashion-Entertainment-Media&t=Backend+Engineer+Intern&jk=6d8a2879bbea78ba&vjs=3,6 days ago,N/A
Internship - Algo/C# Developer,Société Générale,"New York, NY","3.9 out of 5 stars from 2,723 employee ratings","ResponsibilitiesThe GBSU/EMM team is developing and maintaining exchange connectivity and high-performance front office systems while also managing time sensitive regulatory reporting systems. All developments are leveraging on a common framework developed in Americas, Asia and Europe.A Summer intern within the GBSU/EMM team should be familiar Windows and Linux operating systems. Have a basic understanding of equity markets and have some level of exposure to working with python.Expected Project workEnhance production post-release check scripts built in python: This will involve reading current non-working checks and proposing fixes. Additional tasks will involve working with the team to review new requests and add additional checks.Build additional Grafana/Prometheus dashboards for production monitoring.What will be learned during this experience:Python development best practices, experience using GIT and a deeper understanding of LinuxBroad introduction to US Equity markets and how order passing and market data feed technologies work in a broker dealer environmentExperience analyzing and proposing solutions to complex problems within a technical trading support teamProfile requiredCOMPETENCIESRequired:Python experienceKnowledge of LINUX and Windows .Ability to manage multiple priorities, commitments and projects.Strong communication skillsLANGUAGERequired:EnglishBusiness insightWithin SOCIETE GENERALE’s Corporate and Investment Banking arm, the MARK department focuses on all asset classes including equity, equity derivatives, forex, credit, commodities products and services. The GBSU department is the Information Technology department of SG within the Investment bank. It provides global solution with in house developments support its operational processes and secure its business growth. GBSU is a worldwide entity spread across Americas, Asia and Europe. It is composed of Project Managers, Business Analysts, Developers, Quality assurance and Application Support representatives.We are an equal opportunities employer and we are proud to make diversity a strength for our company. Societe Generale is committed to recognizing and promoting all talents, regardless of their beliefs, age, disability, parental status, ethnic origin, nationality, sexual or gender identity, sexual orientation, membership of a political, religious, trade union or minority organisation, or any other characteristic that could be subject to discrimination.Reference: 21000LP8Entity: SG AMERICAS OPERATIONAL SECURITIESStarting date: immediatePublication date: 2021/07/27",https://www.indeed.com/rc/clk?jk=d75c57adf126ea0d&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjKziHrnqzE0j0tk-NkJMBpQPTx7ack05kPwIeOSvQquQ&astse=797ee6aee109d7a1&assa=4467&vjfrom=serp,30+ days ago,N/A
2022 Quantitative Developer Intern,Schonfeld TeamGAN,"New York, NY",N/A,"The RoleWe are seeking exceptional candidates to join an equity statistical arbitrage team as summer interns. The team was founded in 2018 and is built on a very successful track record of trading systematic strategies powered by scientific methodologies and cutting-edge technologies. The team fosters a working style that encourages entrepreneurship, autonomy and a focus on learning and development.Ample headcount to extend full-time offers to interns meeting expectations.What You'll DoThe Quantitative Developer Intern will work on various challenging engineering projects related to e.g. distributed system, machine learning, cloud technologies, high-performance databases, etc. The ideal candidate will have a mindset of continuous improvement and will seek solutions to further scale and automate our system. We are here to help you acquire new skills and knowledge needed to solve the challenges. You will have enormous opportunities to learn and grow.What You'll BringBachelor's, Master's or PhD degree from a top-tier university in a technical or quantitative field, such as math, physics, statistics, computer science and engineering.Mastery of one or more object-oriented programming languages (e.g. Python, Java, C++). Python is a plus but not required.Strong attention to details.Excellent communication skills, both written and verbal.Collaborative approach to problem-solving.Finance background is not required.",https://www.indeed.com/rc/clk?jk=d1ed18b272bc502b&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgW0d2jx3m7yIR5hEtJBurRXAwdulcUk0atwlDdDDqlBQ&astse=2e766262e1ccfaa3&assa=5162&vjfrom=serp,22 days ago,N/A
"Software Developer, Ph.D. Intern","D. E. Shaw & Co., L.P.","New York, NY",4.1 out of 5 stars from 59 employee ratings,"The D. E. Shaw group’s summer doctoral internship program exposes talented Ph.D. candidates to the projects and environment associated with full-time work in quantitative analysis and software development at the firm. Ph.D. interns can expect to be part of an inclusive environment, and interact with fellow interns and employees of similar academic backgrounds while discovering how the analytical skills gained from their graduate programs may relate to the work done here. Throughout the internship, Ph.D. candidates are encouraged to attend our academic speaker series and track academic progress in various areas that may be of interest.",https://www.indeed.com/rc/clk?jk=f8852cd00b7da58e&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiLCkJW962ojlYtPJ4qNekMGQFsFDP3gSdjjHZnj9ZEfg&astse=4a7f4a949fc5ec5a&assa=5763&vjfrom=serp,30+ days ago,N/A
Software Developer Intern,Extendime,"Iselin, NJ",N/A,"Description:Interns are hired into a technical role within specific account and/or project teams. Candidates should have a demonstrated interest in technology and business, strong problem-solving abilities, and excellent interpersonal skills.Qualifications:Academic background in computer science, computer engineering or a similar major with extensive computer-based or technical contentKnowledge and/or practical experience with at least one current programming language, such as C, C++, C#, Visual Basic, MySQL, MS SQL server, ASP.Net, HTML5, CSS, Java, JavaScript, Perl, PHP, Ruby, CGI, Python, PEGA, Xojo or DrupalWorking towards obtaining bachelors degreeA great attitude and hunger for learningExcellent analytical, written and oral communication skillsFlexibility and ability to deal with ambiguityAbility to work within a team environmentJob Responsibility:Collaborate with team members to create a software application from start to finishGain real world experience in all phases of the software development lifecycle, including requirements, design, software development, quality assurance, and project managementTrain in new technologies, learn from current employees, and get feedback along the wayBenefits:Involvement in a team oriented atmosphereInvolvement in the technical components of a client projectExposure to business issues and challengesOpportunity to leverage your computer knowledge and analytical skills",https://www.indeed.com/viewjob?jk=20a30344f3ebc4db&from=serp&vjs=3,30+ days ago,N/A
